"entry no."	"ipi"
227	"IPI00500569,IPI00608245"
440	"IPI00489005"
449	"IPI00505056"
458	"IPI00500184,IPI00614985,IPI00499590"
506	"IPI00488472"
512	"IPI00607418,IPI00493361,IPI00614542"
514	"IPI00508735"
528	"IPI00508582"
573	"IPI00505422,IPI00492905"
607	"IPI00508972,IPI00500892,IPI00503117,IPI00506686"
614	"IPI00496157"
620	"IPI00494632"
623	"IPI00614919"
636	"IPI00482839"
639	"IPI00609891,IPI00501410,IPI00512231,IPI00507845"
651	"IPI00498277"
652	"IPI00510533,IPI00501244"
655	"IPI00492181"
657	"IPI00508932"
677	"IPI00485031,IPI00508987,IPI00489392,IPI00508664,IPI00513025,IPI00494814,IPI00502576,IPI00499220,IPI00487997"
690	"IPI00494802,IPI00501704"
691	"IPI00503978,IPI00616706,IPI00612936,IPI00502836,IPI00612263,IPI00609949,IPI00615372"
694	"IPI00512844,IPI00615989"
714	"IPI00500645"
723	"IPI00492185"
"726a"	"IPI00490635,IPI00486223,IPI00493634,IPI00490084,IPI00482373"
732	"IPI00493326"
743	"IPI00505836"
744	"IPI00502939"
746	"IPI00494443,IPI00493697,IPI00509324,IPI00499610,IPI00481580"
748	"IPI00506350"
749	"IPI00611935"
750	"IPI00570200"
752	"IPI00493794"
753	"IPI00502303"
757	"IPI00616456"
759	"IPI00610383"
765	"IPI00508581,IPI00512967"
771	"IPI00486998"
776	"IPI00486417,IPI00608213"
779	"IPI00504217"
781	"IPI00507526,IPI00499831"
783	"IPI00490794,IPI00493556"
788	"IPI00488447,IPI00617933,IPI00510993"
790	"IPI00496249"
792	"IPI00484656"
793	"IPI00509850"
803	"IPI00570038,IPI00501754,IPI00615821,IPI00614402"
804	"IPI00487087,IPI00506233"
806	"IPI00487408,IPI00488206,IPI00494554"
809	"IPI00484560"
810	"IPI00506453"
811	"IPI00493368,IPI00509710,IPI00503951,IPI00486021"
819	"IPI00494398,IPI00501062"
820	"IPI00612811,IPI00488171,IPI00499009,IPI00481136,IPI00492433,IPI00502407,IPI00490590,IPI00498946"
822	"IPI00612057"
"823a"	"IPI00486973"
825	"IPI00609753,IPI00619832,IPI00609100,IPI00490540"
830	"IPI00502143"
"835a"	"IPI00492714"
837	"IPI00512671,IPI00502367,IPI00495948,IPI00615453,IPI00496906,IPI00609210"
839	"IPI00492706,IPI00499655,IPI00493586,IPI00503916,IPI00493919"
840	"IPI00509899"
842	"IPI00618628"
844	"IPI00503318,IPI00497554"
845	"IPI00489325,IPI00495383"
846	"IPI00482737"
847	"IPI00510571,IPI00607259,IPI00511145,IPI00481338,IPI00504852,IPI00490556"
851	"IPI00609378"
853	"IPI00619566,IPI00497322"
854	"IPI00505775,IPI00511209"
865	"IPI00494113"
867	"IPI00619255"
"868a"	"IPI00616365,IPI00482118,IPI00512476,IPI00495818,IPI00495824,IPI00503142,IPI00610304,IPI00511045,IPI00610419,IPI00496229,IPI00497311,IPI00492150"
874	"IPI00611527,IPI00610502,IPI00615997,IPI00507085,IPI00507030,IPI00612955,IPI00493973,IPI00513501,IPI00617531,IPI00502600,IPI00504839"
876	"IPI00494714,IPI00502402"
881	"IPI00491347"
884	"IPI00512109,IPI00492939"
886	"IPI00488686,IPI00493178"
887	"IPI00485045"
888	"IPI00486217,IPI00502687,IPI00482384,IPI00494768,IPI00508134,IPI00485917"
896	"IPI00510294"
908	"IPI00491780,IPI00487642,IPI00496118,IPI00610721,IPI00613066,IPI00487290"
913	"IPI00498121,IPI00509754"
914	"IPI00494956"
917	"IPI00510196,IPI00610550"
921	"IPI00503787,IPI00508173"
925	"IPI00610740"
931	"IPI00504890"
933	"IPI00487510,IPI00509987,IPI00503267,IPI00501360,IPI00618696,IPI00608996,IPI00506150,IPI00485824,IPI00497069,IPI00616962,IPI00505252,IPI00485345,IPI00512645,IPI00504694,IPI00511935,IPI00508229,IPI00487337,IPI00509660,IPI00483133,IPI00618718,IPI00618704,IPI00494636,IPI00507529,IPI00492741,IPI00500713,IPI00490223,IPI00492750,IPI00499825,IPI00496251,IPI00496559,IPI00499370,IPI00506263,IPI00498978,IPI00512401,IPI00483996"
934	"IPI00504544,IPI00505411"
935	"IPI00491831"
936	"IPI00613446,IPI00491248,IPI00495606"
939	"IPI00612619,IPI00507398"
943	"IPI00481482"
945	"IPI00491881,IPI00502645,IPI00496221,IPI00609170,IPI00498320,IPI00482588"
947	"IPI00607288"
949	"IPI00493740"
950	"IPI00496276,IPI00499082,IPI00492031,IPI00498795,IPI00506828,IPI00502396,IPI00618092,IPI00511777"
957	"IPI00484953"
958	"IPI00505399"
964	"IPI00495556,IPI00494747,IPI00490900,IPI00482204,IPI00486038"
966	"IPI00611899,IPI00619648,IPI00502678,IPI00497285,IPI00501656,IPI00616185,IPI00613933,IPI00505992"
990	"IPI00500443,IPI00612939,IPI00504518,IPI00615856"
991	"IPI00497028"
1002	"IPI00611962,IPI00484571,IPI00508690,IPI00612839"
1008	"IPI00511501,IPI00610159,IPI00498953"
1009	"IPI00482135,IPI00614989"
1011	"IPI00492743"
1014	"IPI00493057"
1026	"IPI00491996,IPI00488118"
1028	"IPI00616745"
1029	"IPI00513043"
1034	"IPI00506468,IPI00507458"
1037	"IPI00492556"
1038	"IPI00493109,IPI00484406,IPI00498452,IPI00610905,IPI00488720"
1039	"IPI00483983"
1040	"IPI00481056"
1041	"IPI00482959"
1043	"IPI00619483,IPI00502532,IPI00488949,IPI00618253,IPI00616694"
1044	"IPI00555378,IPI00505097,IPI00480956,IPI00500802"
1049	"IPI00617447,IPI00481882"
"1048a"	"IPI00481898,IPI00490175"
1053	"IPI00501826,IPI00512472,IPI00509817,IPI00504923,IPI00495330,IPI00570204,IPI00610277,IPI00611948,IPI00500588,IPI00504695,IPI00505047,IPI00492885,IPI00490628,IPI00501331"
1057	"IPI00500366,IPI00618080"
1058	"IPI00612373,IPI00508544"
1060	"IPI00493446,IPI00507712,IPI00513223"
1061	"IPI00492886"
1063	"IPI00492832"
"1067a"	"IPI00502658,IPI00498712,IPI00490025,IPI00512380,IPI00493870,IPI00511391,IPI00506515"
"1070a"	"IPI00570072,IPI00513339"
1071	"IPI00502421"
1074	"IPI00501183,IPI00617228,IPI00610012"
1079	"IPI00485030"
1082	"IPI00507328"
1087	"IPI00570325"
"1098a"	"IPI00502917,IPI00554402,IPI00499807,IPI00486541,IPI00500989"
1099	"IPI00614084,IPI00612551,IPI00513512,IPI00487659,IPI00509188,IPI00487480,IPI00617284"
1101	"IPI00504719,IPI00496448,IPI00497881,IPI00618855,IPI00617576,IPI00511421,IPI00482687"
1104	"IPI00615324"
"1105a"	"IPI00509683"
1107	"IPI00501777,IPI00607445,IPI00612993,IPI00487060,IPI00495802"
1108	"IPI00504180"
1111	"IPI00510748,IPI00506932"
1112	"IPI00509809,IPI00502237"
